"","sNum","sID","months","days","sex","randomization","condLabel","trial_order","inclusion","trialType","trial_type","objects_position","given_object","looking_time","num_looks","lookAway_time","num_looksAway","log_lookingTime"
"1",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,1,1,"P_intro","intro",NA,NA,17.8344466519775,1,0,0,2.88113179236809
"2",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,2,1,"O_intro","Intro","AppleBanana",NA,24.8935275250115,2,0.333583918050863,1,3.21460783092617
"3",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,3,1,"O_intro_S","Intro","AppleBanana",NA,34.6818520722445,9,9.50745980686042,9,3.54621655510703
"4",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,4,1,"ConPos","CONPOS","BananaApple","Banana",24.0591515289852,1,0,0,3.18051544512776
"5",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,5,1,"Still","CONPOS","BananaApple","Banana",14.667055533966,4,4.6700797380181,4,2.68560385857817
"6",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,6,1,"ConPos","CONPOS","AppleBanana","Banana",24.0761283240281,1,0,0,3.18122082362763
"7",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,7,1,"Still","CONPOS","AppleBanana","Banana",24.9751506631728,3,4.76984785497189,3,3.21788135707589
"8",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,8,1,"O_intro","Intro","BallCar",NA,25.5235538970446,1,0,0,3.2396017080695
"9",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,9,1,"O_intro_S","Intro","BallCar",NA,19.1869278129889,1,2.00150796305388,1,2.95422920408134
"10",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,10,1,"ConNeg","CONNEG","CarBall","Ball",24.1214648670284,1,0,0,3.18310210247871
"11",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,11,1,"Still","CONNEG","CarBall","Ball",10.3308591820532,1,2.00144634803291,1,2.33513545315329
"12",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,12,1,"ConNeg","CONNEG","BallCar","Ball",24.1255705350777,1,0,0,3.18327229606781
"13",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,13,1,"Still","CONNEG","BallCar","Ball",24.4752974410076,1,2.00154341501184,1,3.19766434119288
"14",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,14,1,"O_intro","Intro","DuckBear",NA,26.894376269076,1,0,0,3.29191720412243
"15",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,15,1,"O_intro_S","Intro","DuckBear",NA,18.3874600179261,2,3.45260817406233,2,2.91166891150921
"16",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,16,1,"Test","INPOS","BearDuck","Bear",24.1254477800103,1,0,0,3.18326720788224
"17",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,17,1,"Still","INPOS","BearDuck","Bear",29.6793748120544,2,2.0848758330103,2,3.39045235379344
"18",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,18,1,"Test","INPOS","DuckBear","Bear",20.1169917030493,3,3.93625572090968,2,3.00156481631156
"19",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,19,1,"Still","INPOS","DuckBear","Bear",3.19197895599063,1,2.00142703799065,1,1.16064108683107
"20",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,20,1,"O_intro","Intro","CupSpoon",NA,31.2640074800001,1,0,0,3.44246751511316
"21",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,21,1,"O_intro_S","Intro","CupSpoon",NA,5.84358988597523,1,2.00147297594231,1,1.76534531448809
"22",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,22,1,"Test","INNEG","CupSpoon","Spoon ",24.1424056040123,1,0,0,3.18396986290047
"23",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,23,1,"Still","INNEG","CupSpoon","Spoon ",22.7906165419845,2,2.63546523905825,2,3.1263488960722
"24",1,"CoBr",29,3,"m","{'ConPos': ['CONPOS_BananaApple_Banana.mp4', 'CONPOS_AppleBanana_Banana.mp4'], 'ConNeg': ['CONNEG_CarBall_Ball.mp4', 'CONNEG_BallCar_Ball.mp4'], 'P_intro': ['intro.mp4'], 'O_intro': ['Intro_AppleBanana.mp4', 'Intro_BallCar.mp4', 'Intro_DuckBear.mp4', 'Intro_CupSpoon.mp4'], 'O_intro_S': ['AB_intro_S.png', 'BC_intro_S.png', 'BD_intro_S.png', 'CS_intro_S.png'], 'Still': ['BA_B.png', 'AB_B.png', 'CB_B.png', 'BC_B.png', 'BD_B.png', 'DB_B.png', 'CS_S.png', 'SC_S.png'], 'Test': ['INPOS_BearDuck_Bear.mp4', 'INPOS_DuckBear_Bear.mp4', 'INNEG_CupSpoon_Spoon .mp4', 'INNEG_SpoonCup_Spoon.mp4']}",1,24,1,"Test","INNEG","SpoonCup","Spoon",21.1569734469522,2,2.968856366002,1,3.05196956495252
